Invoices_h_r_id,Account_id,Emp_id,Date_d,Time_t,Total_total
31,1004,23,03/01/2022,09:49:52 م,656
63,1688,1,05/01/2022,02:19:48 م,337.5
77,1204,23,06/01/2022,04:46:53 م,87
139,680,23,10/01/2022,12:10:01 م,94
121,753,23,09/01/2022,04:36:22 م,
44,144,,04/01/2022,08:04:10 م,
45,649,1,04/01/2022,08:04:23 م,
64,2087,15,05/01/2022,03:53:40 م,232
32,198,23,03/01/2022,09:59:26 م,1930
78,1172,1,06/01/2022,04:50:35 م,7
46,1364,22,04/01/2022,09:32:58 م,189
99,614,15,08/01/2022,04:07:01 م,48
65,360,22,05/01/2022,04:10:49 م,340
122,753,23,09/01/2022,04:36:40 م,
33,1633,23,03/01/2022,10:00:58 م,443
47,332,22,04/01/2022,09:36:19 م,
79,1338,1,06/01/2022,04:51:11 م,155
123,753,23,09/01/2022,04:37:05 م,
66,392,1,05/01/2022,04:11:48 م,546
48,368,1,04/01/2022,09:37:46 م,432
100,716,22,08/01/2022,04:22:14 م,199
49,1498,22,04/01/2022,09:38:53 م,71
80,1335,1,06/01/2022,04:52:00 م,1335
67,733,23,05/01/2022,04:13:06 م,610
101,1714,22,08/01/2022,04:22:33 م,132
50,391,22,04/01/2022,09:39:30 م,122
81,1633,23,06/01/2022,04:52:37 م,362.5
68,956,22,05/01/2022,06:26:19 م,4732.5
51,391,22,04/01/2022,09:40:09 م,1535
82,205,1,06/01/2022,04:56:45 م,103
69,242,23,05/01/2022,07:45:07 م,
52,1689,22,04/01/2022,09:41:25 م,
70,242,23,05/01/2022,07:45:30 م,
53,1689,22,04/01/2022,09:42:11 م,280
71,1867,15,05/01/2022,07:59:32 م,122
83,733,23,06/01/2022,05:51:20 م,
54,297,1,04/01/2022,10:09:12 م,1309
72,559,1,05/01/2022,08:37:26 م,2525
55,2057,1,04/01/2022,10:11:15 م,304
56,1172,1,04/01/2022,10:24:34 م,86
84,273,23,06/01/2022,06:11:43 م,310
102,1902,22,08/01/2022,04:56:15 م,373.5
124,391,22,09/01/2022,04:44:11 م,62.5
140,414,1,10/01/2022,01:45:18 م,196
147,330,23,11/01/2022,01:45:40 م,
155,1652,15,12/01/2022,12:55:39 م,125
163,733,23,13/01/2022,04:45:36 م,272
172,709,15,15/01/2022,11:58:16 ص,
311,199,23,26/01/2022,11:13:54 ص,35.5
85,360,22,06/01/2022,07:43:06 م,61.5
103,1954,22,08/01/2022,04:56:46 م,46.5
148,330,23,11/01/2022,01:45:46 م,753
125,753,23,09/01/2022,04:45:35 م,55
86,499,22,06/01/2022,07:45:42 م,183
141,315,1,10/01/2022,04:11:10 م,828.5
156,2142,0,12/01/2022,12:59:32 م,36.5
104,1697,22,08/01/2022,04:58:05 م,377.5
126,666,15,09/01/2022,05:54:09 م,90
87,2059,22,06/01/2022,09:06:32 م,228
142,601,23,10/01/2022,07:18:45 م,323
88,625,1,06/01/2022,09:07:02 م,302
127,392,1,09/01/2022,06:11:32 م,384
105,1597,15,08/01/2022,05:06:04 م,124
149,858,22,11/01/2022,06:13:10 م,230
89,1202,22,06/01/2022,10:04:36 م,132.5
143,667,22,10/01/2022,07:20:25 م,66
128,372,23,09/01/2022,06:12:12 م,452.5
106,1504,15,08/01/2022,06:00:54 م,275
150,685,23,11/01/2022,06:30:26 م,276
90,1714,22,06/01/2022,10:06:02 م,232
144,385,23,10/01/2022,07:21:07 م,669
107,614,15,08/01/2022,06:42:58 م,
129,1085,23,09/01/2022,06:18:11 م,837
91,160,22,06/01/2022,10:17:26 م,4900
108,614,15,08/01/2022,06:43:23 م,142
92,160,22,06/01/2022,10:17:41 م,114
130,1714,22,09/01/2022,08:14:53 م,490
109,174,22,08/01/2022,07:35:27 م,182.5
93,250,22,06/01/2022,10:44:33 م,804
110,688,15,08/01/2022,07:38:47 م,21
131,1698,15,09/01/2022,08:17:04 م,630
94,545,22,06/01/2022,10:45:05 م,146
111,905,22,08/01/2022,08:13:14 م,641
95,1561,22,06/01/2022,11:12:21 م,1120
112,905,22,08/01/2022,08:17:10 م,108.5
113,216,23,08/01/2022,09:09:15 م,270
114,588,23,08/01/2022,09:10:44 م,566
115,1716,23,08/01/2022,10:13:02 م,446
116,210,1,08/01/2022,10:31:36 م,2720
132,542,1,09/01/2022,08:22:26 م,
145,368,1,10/01/2022,09:50:52 م,65
151,653,22,11/01/2022,06:31:27 م,138
157,430,22,12/01/2022,01:02:23 م,61
164,366,22,13/01/2022,04:53:14 م,45.5
173,709,15,15/01/2022,11:58:38 ص,49
187,159,23,16/01/2022,12:10:11 م,384
133,1990,22,09/01/2022,09:45:00 م,
117,472,1,08/01/2022,10:39:20 م,32
198,748,23,17/01/2022,10:51:56 ص,320
217,992,22,18/01/2022,11:15:31 ص,3820
224,879,15,18/01/2022,07:11:47 م,64
232,1831,22,19/01/2022,01:52:54 م,129
152,1601,22,11/01/2022,07:22:40 م,13
134,312,1,09/01/2022,09:45:49 م,185
158,1615,22,12/01/2022,01:22:44 م,385
118,210,1,08/01/2022,10:40:01 م,61.5
165,1311,1,13/01/2022,08:08:46 م,94
174,1635,15,15/01/2022,12:51:35 م,149
188,2068,15,16/01/2022,01:00:38 م,82.5
153,1714,22,11/01/2022,08:17:54 م,114
199,733,23,17/01/2022,10:56:38 ص,861
159,1698,15,12/01/2022,03:09:55 م,89
135,542,1,09/01/2022,09:54:36 م,770
218,144,37,18/01/2022,11:18:59 ص,
166,218,22,13/01/2022,08:09:27 م,364
154,199,23,11/01/2022,09:19:11 م,62.5
175,2059,22,15/01/2022,02:00:30 م,
137,301,22,09/01/2022,10:05:03 م,42.5
189,429,1,16/01/2022,04:04:46 م,247
160,1610,15,12/01/2022,03:13:54 م,125.5
167,1716,23,13/01/2022,09:23:14 م,
176,1902,22,15/01/2022,02:01:41 م,747
161,367,15,12/01/2022,04:22:42 م,
200,733,23,17/01/2022,10:57:23 ص,
190,429,1,16/01/2022,04:05:03 م,142.5
168,1716,23,13/01/2022,09:23:34 م,381
162,2137,15,12/01/2022,06:04:53 م,
201,733,23,17/01/2022,10:57:43 ص,
191,2018,1,16/01/2022,06:01:04 م,201
177,1189,15,15/01/2022,02:46:56 م,65
169,685,23,13/01/2022,10:06:01 م,72
192,2137,15,16/01/2022,06:18:05 م,179
170,496,22,13/01/2022,10:20:23 م,257
178,261,1,15/01/2022,05:01:35 م,800
171,625,1,13/01/2022,10:31:55 م,187.8
179,552,22,15/01/2022,06:33:31 م,96
180,1189,15,15/01/2022,06:40:23 م,55
181,1481,22,15/01/2022,07:30:59 م,811.5
182,935,22,15/01/2022,08:50:55 م,480
193,151,1,16/01/2022,06:40:52 م,83.5
202,733,23,17/01/2022,10:59:28 ص,
219,733,23,18/01/2022,11:19:20 ص,1658.25
225,685,23,18/01/2022,07:12:31 م,68
233,620,15,19/01/2022,01:53:25 م,
242,2147,0,20/01/2022,11:38:24 ص,44
253,329,23,20/01/2022,09:56:03 م,65
255,351,22,22/01/2022,11:23:29 ص,46.5
183,2105,22,15/01/2022,08:53:43 م,380
203,233,22,17/01/2022,11:10:48 ص,1610.5
260,150,23,22/01/2022,07:55:41 م,200
220,733,23,18/01/2022,11:29:38 ص,
194,1635,15,16/01/2022,07:32:52 م,39.75
184,2142,0,15/01/2022,08:54:47 م,132
226,599,22,18/01/2022,07:13:47 م,560
221,733,23,18/01/2022,11:30:40 ص,110
234,210,1,19/01/2022,06:20:06 م,5375
243,1036,23,20/01/2022,02:31:02 م,124
195,2116,22,16/01/2022,07:33:59 م,175
185,730,1,15/01/2022,09:27:43 م,54
256,174,22,22/01/2022,11:52:32 ص,70
222,1715,22,18/01/2022,02:34:14 م,592
227,301,22,18/01/2022,07:27:07 م,
186,1633,23,15/01/2022,10:09:31 م,210
196,1489,22,16/01/2022,07:51:50 م,415.5
244,1084,15,20/01/2022,02:35:31 م,93
228,301,22,18/01/2022,07:27:27 م,
223,301,22,18/01/2022,05:14:36 م,
197,748,23,16/01/2022,09:02:00 م,125
235,366,22,19/01/2022,08:24:14 م,90
229,301,22,18/01/2022,09:28:19 م,295
236,1202,22,19/01/2022,08:26:30 م,476
204,733,23,17/01/2022,01:03:11 م,228
230,296,1,18/01/2022,10:21:49 م,275
237,2147,0,19/01/2022,08:29:04 م,100
231,2142,0,18/01/2022,11:00:19 م,320
205,2027,1,17/01/2022,02:53:11 م,192.75
206,144,,17/01/2022,02:54:05 م,
207,2027,1,17/01/2022,02:54:49 م,110
208,566,1,17/01/2022,04:19:56 م,311
209,372,23,17/01/2022,05:14:59 م,
210,372,23,17/01/2022,05:20:11 م,27.5
211,336,23,17/01/2022,05:20:25 م,798
212,199,23,17/01/2022,05:28:56 م,
213,199,23,17/01/2022,05:30:09 م,38
214,1873,1,17/01/2022,05:30:48 م,
215,490,23,17/01/2022,07:37:11 م,42
216,1633,23,17/01/2022,08:17:45 م,24
238,1633,23,19/01/2022,08:39:51 م,35
245,421,22,20/01/2022,05:04:22 م,264
261,552,22,22/01/2022,07:56:19 م,278
268,174,22,23/01/2022,01:37:08 م,138
257,552,22,22/01/2022,06:38:30 م,325
284,733,23,24/01/2022,11:32:56 ص,1721
298,2124,0,25/01/2022,11:39:51 ص,37
301,171,23,25/01/2022,04:03:52 م,672
312,1335,1,26/01/2022,11:14:53 ص,576
239,710,1,19/01/2022,09:22:41 م,141
313,192,22,27/01/2022,02:42:31 م,952.5
246,233,22,20/01/2022,05:22:01 م,1161.6
329,430,22,29/01/2022,11:54:59 ص,60
363,168,22,30/01/2022,11:45:32 ص,449
258,513,1,22/01/2022,07:40:47 م,72
240,593,1,19/01/2022,09:31:52 م,250
269,682,22,23/01/2022,02:37:47 م,63.5
299,955,23,25/01/2022,11:51:27 ص,329
285,1714,22,24/01/2022,12:06:13 م,295.5
302,2147,0,25/01/2022,04:17:21 م,296
241,354,1,19/01/2022,09:34:36 م,44
259,250,22,22/01/2022,07:47:31 م,112.5
247,733,23,20/01/2022,05:22:27 م,104.5
270,368,1,23/01/2022,02:38:29 م,132
271,173,1,23/01/2022,03:00:19 م,378
262,420,1,22/01/2022,07:56:54 م,78
286,1714,22,24/01/2022,12:11:27 م,636
300,170,23,25/01/2022,02:52:35 م,975
263,1481,22,22/01/2022,07:57:42 م,66
287,1603,22,24/01/2022,12:12:20 م,255
272,1311,1,23/01/2022,05:16:18 م,35
264,736,23,22/01/2022,08:10:32 م,405
248,733,23,20/01/2022,05:23:05 م,192.5
288,261,1,24/01/2022,02:10:10 م,
265,1697,22,22/01/2022,08:35:57 م,1120
273,477,15,23/01/2022,05:18:03 م,135
289,261,1,24/01/2022,02:10:28 م,400
266,988,22,22/01/2022,09:41:15 م,253
274,734,1,23/01/2022,06:26:34 م,915
267,736,23,22/01/2022,09:45:36 م,231
275,242,23,23/01/2022,06:26:49 م,60.8
249,2105,22,20/01/2022,07:06:23 م,
250,600,23,20/01/2022,07:22:04 م,139
276,386,22,23/01/2022,06:55:32 م,133
251,653,22,20/01/2022,07:31:43 م,422
277,2097,15,23/01/2022,06:55:42 م,15
252,159,23,20/01/2022,07:47:24 م,102
